Pitcher: 425794 | FF: 8 | SL: 0 | CU: 35 | CH: 7 | FS: 0 | SI: 28 | KC: 0 | FC: 16 | CS: 1 | None: 0 | 
Pitcher: 643338 | FF: 28 | SL: 0 | CU: 14 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 642528 | FF: 4 | SL: 12 | CU: 8 | CH: 7 | FS: 0 | SI: 31 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 622663 | FF: 15 | SL: 6 | CU: 0 | CH: 7 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 605280 | FF: 0 | SL: 14 | CU: 0 | CH: 0 | FS: 0 | SI: 33 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 543037 | FF: 23 | SL: 15 | CU: 0 | CH: 7 | FS: 0 | SI: 0 | KC: 5 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 607229 | FF: 0 | SL: 8 | CU: 3 | CH: 5 | FS: 0 | SI: 24 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 592390 | FF: 12 | SL: 10 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 592866 | FF: 47 | SL: 15 | CU: 3 | CH: 3 | FS: 0 | SI: 11 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 675911 | FF: 30 | SL: 8 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 592789 | FF: 6 | SL: 0 | CU: 0 | CH: 7 | FS: 0 | SI: 3 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 608032 | FF: 14 | SL: 0 | CU: 0 | CH: 8 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 605525 | FF: 27 | SL: 6 | CU: 1 | CH: 7 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 641755 | FF: 11 | SL: 30 | CU: 1 | CH: 2 | FS: 0 | SI: 1 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 598287 | FF: 3 | SL: 0 | CU: 10 | CH: 5 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 642068 | FF: 19 | SL: 3 | CU: 0 | CH: 12 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 642203 | FF: 16 | SL: 2 | CU: 0 | CH: 2 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 656458 | FF: 20 | SL: 22 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 664092 | FF: 0 | SL: 7 | CU: 0 | CH: 1 | FS: 0 | SI: 6 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 453268 | FF: 10 | SL: 10 | CU: 0 | CH: 3 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 573009 | FF: 0 | SL: 0 | CU: 2 | CH: 0 | FS: 0 | SI: 5 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 650668 | FF: 37 | SL: 12 | CU: 2 | CH: 15 | FS: 0 | SI: 10 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 623485 | FF: 30 | SL: 0 | CU: 18 | CH: 9 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 605242 | FF: 5 | SL: 13 | CU: 2 | CH: 0 | FS: 0 | SI: 2 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 641582 | FF: 12 | SL: 4 | CU: 0 | CH: 1 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 641729 | FF: 7 | SL: 7 | CU: 0 | CH: 2 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 571800 | FF: 13 | SL: 13 | CU: 0 | CH: 2 | FS: 0 | SI: 2 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 641302 | FF: 4 | SL: 7 | CU: 1 | CH: 18 | FS: 0 | SI: 29 | KC: 0 | FC: 26 | CS: 0 | None: 0 | 
Pitcher: 571670 | FF: 11 | SL: 3 | CU: 0 | CH: 5 | FS: 0 | SI: 7 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 658431 | FF: 1 | SL: 0 | CU: 6 | CH: 7 | FS: 0 | SI: 3 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 669622 | FF: 0 | SL: 14 | CU: 0 | CH: 0 | FS: 0 | SI: 14 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 453178 | FF: 24 | SL: 0 | CU: 0 | CH: 1 | FS: 0 | SI: 0 | KC: 3 | FC: 2 | CS: 0 | None: 0 | 
Pitcher: 542947 | FF: 0 | SL: 1 | CU: 0 | CH: 0 | FS: 0 | SI: 11 | KC: 0 | FC: 2 | CS: 0 | None: 0 | 
Pitcher: 622554 | FF: 8 | SL: 4 | CU: 0 | CH: 0 | FS: 0 | SI: 2 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 542914 | FF: 6 | SL: 5 | CU: 0 | CH: 0 | FS: 1 | SI: 4 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 592135 | FF: 3 | SL: 2 | CU: 0 | CH: 0 | FS: 1 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 593576 | FF: 16 | SL: 3 | CU: 0 | CH: 0 | FS: 18 | SI: 5 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 647315 | FF: 0 | SL: 5 | CU: 0 | CH: 0 | FS: 0 | SI: 17 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 605507 | FF: 7 | SL: 0 | CU: 5 | CH: 1 | FS: 0 | SI: 4 | KC: 0 | FC: 8 | CS: 0 | None: 0 | 
Pitcher: 621237 | FF: 0 | SL: 0 | CU: 3 | CH: 0 | FS: 0 | SI: 10 | KC: 0 | FC: 3 | CS: 0 | None: 0 | 
