Pitcher: Kirby Snead | ID: 669912 | CU: 0 | CH: 96 | SL: 355 | FF: 132 | FS: 0 | SI: 390 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Héctor Neris | ID: 593576 | CU: 0 | CH: 0 | SL: 156 | FF: 1747 | FS: 2153 | SI: 629 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Calvin Faucher | ID: 676534 | CU: 60 | CH: 0 | SL: 192 | FF: 0 | FS: 0 | SI: 179 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Shane Baz | ID: 669358 | CU: 105 | CH: 48 | SL: 217 | FF: 317 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: David Phelps | ID: 475479 | CU: 0 | CH: 104 | SL: 0 | FF: 661 | FS: 0 | SI: 363 | FC: 638 | KC: 654 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Alek Manoah | ID: 666201 | CU: 0 | CH: 551 | SL: 1389 | FF: 1820 | FS: 0 | SI: 1321 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Corey Kluber | ID: 446372 | CU: 1910 | CH: 704 | SL: 0 | FF: 479 | FS: 0 | SI: 2232 | FC: 2349 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 1 | SC: 0 | FT: 0 | 
Pitcher: Sean Newcomb | ID: 656794 | CU: 888 | CH: 722 | SL: 254 | FF: 3535 | FS: 0 | SI: 4 | FC: 351 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Alec Mills | ID: 621219 | CU: 476 | CH: 688 | SL: 476 | FF: 913 | FS: 0 | SI: 1465 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Daniel Norris | ID: 596057 | CU: 219 | CH: 1250 | SL: 1307 | FF: 2534 | FS: 0 | SI: 263 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Keegan Thompson | ID: 624522 | CU: 537 | CH: 109 | SL: 79 | FF: 1269 | FS: 0 | SI: 118 | FC: 649 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Alex Lange | ID: 656638 | CU: 787 | CH: 325 | SL: 3 | FF: 359 | FS: 0 | SI: 305 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Will Vest | ID: 676684 | CU: 0 | CH: 240 | SL: 525 | FF: 1025 | FS: 0 | SI: 3 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Elvin Rodríguez | ID: 660730 | CU: 64 | CH: 74 | SL: 126 | FF: 307 | FS: 0 | SI: 9 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: José Quijada | ID: 650671 | CU: 73 | CH: 262 | SL: 114 | FF: 1496 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Shohei Ohtani | ID: 660271 | CU: 371 | CH: 0 | SL: 1705 | FF: 2069 | FS: 890 | SI: 95 | FC: 489 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Kenny Rosenberg | ID: 670046 | CU: 9 | CH: 64 | SL: 32 | FF: 87 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Noah Syndergaard | ID: 592789 | CU: 762 | CH: 1308 | SL: 1381 | FF: 1725 | FS: 0 | SI: 2376 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 1 | SC: 0 | FT: 0 | 
Pitcher: Jason Adam | ID: 592094 | CU: 284 | CH: 470 | SL: 422 | FF: 1168 | FS: 0 | SI: 0 | FC: 0 | KC: 65 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Jalen Beeks | ID: 656222 | CU: 507 | CH: 1377 | SL: 12 | FF: 1803 | FS: 0 | SI: 7 | FC: 348 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Jeffrey Springs | ID: 605488 | CU: 1 | CH: 1409 | SL: 981 | FF: 2128 | FS: 0 | SI: 10 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Brooks Raley | ID: 548384 | CU: 177 | CH: 211 | SL: 702 | FF: 126 | FS: 0 | SI: 389 | FC: 683 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Ralph Garza | ID: 621248 | CU: 27 | CH: 138 | SL: 267 | FF: 158 | FS: 0 | SI: 314 | FC: 96 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Ryan Yarbrough | ID: 642232 | CU: 1477 | CH: 2499 | SL: 0 | FF: 81 | FS: 0 | SI: 2126 | FC: 3249 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Julian Fernández | ID: 642759 | CU: 0 | CH: 24 | SL: 0 | FF: 108 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Robert Stephenson | ID: 596112 | CU: 219 | CH: 3 | SL: 1450 | FF: 1370 | FS: 132 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Mitchell Stumpo | ID: 686933 | CU: 0 | CH: 0 | SL: 8 | FF: 1 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Tyler Gilbert | ID: 656457 | CU: 0 | CH: 0 | SL: 0 | FF: 279 | FS: 115 | SI: 205 | FC: 476 | KC: 115 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Joe Biagini | ID: 607352 | CU: 292 | CH: 271 | SL: 23 | FF: 289 | FS: 0 | SI: 1161 | FC: 533 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Rowan Wick | ID: 592858 | CU: 13 | CH: 1 | SL: 120 | FF: 1507 | FS: 0 | SI: 2 | FC: 305 | KC: 593 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Michael Rucker | ID: 621074 | CU: 249 | CH: 110 | SL: 300 | FF: 556 | FS: 0 | SI: 2 | FC: 132 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Cory Abbott | ID: 676265 | CU: 58 | CH: 22 | SL: 290 | FF: 630 | FS: 0 | SI: 0 | FC: 0 | KC: 186 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Brett Anderson | ID: 474463 | CU: 0 | CH: 1165 | SL: 998 | FF: 741 | FS: 0 | SI: 2526 | FC: 216 | KC: 502 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
